,D1,D2,Cosine,Pearson,Euclidean,EDM,KS,Manhattan,Minkowski,Jaccard,Entropy
77,0-1-0,0-3-1,0.9999902120108912,0.9999901333337162,0.0293461509371473,3.125384101891978e-05,0.9999993744989136,0.29345880608602815,0.016,0.0028653295128939827,0.04091139188379511
78,0-1-0,0-3-2,0.9999774351623739,0.9999771983620683,0.044646001914115364,3.64792877591442e-05,0.8433491511244362,0.41346373403013176,0.027,0.0030303030303030303,0.043508487236823545
79,0-1-0,0-3-3,0.9999970491274558,0.9999970262960476,0.015920418283685574,2.028430358007077e-05,0.9760198469076163,0.17107140122687026,0.009,0.002770083102493075,3.616272779582985e-05
80,0-1-0,1-0-0,0.5856296624314317,0.5816055244485717,5.875893608962728,0.0011373935656334066,0.17576350445354966,56.708415401351395,3.098,0.003484320557491289,0.016088625374119814
81,0-1-0,1-0-1,0.5846490677134024,0.5806047481565776,5.887527825298504,0.0011143188117848151,0.1051051889931055,56.92962580481311,3.102,0.003355704697986577,0.06556886357139524
82,0-1-0,1-0-2,0.464952913519326,0.4597155609373129,6.680618792715753,0.0011036102367090433,0.43290024620598067,66.93695901786309,3.414,0.003663003663003663,0.10784649842025973
83,0-1-0,1-0-3,0.5126015777591073,0.5078343983743997,6.378106478221967,0.001097640185957666,0.38459086223852973,62.99091622625151,3.297,0.003616636528028933,0.08852136339601768
84,0-1-0,1-1-0,0.5609670390041422,0.5566921796178318,6.051358650835589,0.0011200646636144577,0.07805663252825676,58.83208503687915,3.168,0.003436426116838488,0.0057730752200993996
85,0-1-0,1-1-1,0.561382530051678,0.5571064895654918,6.046499954173499,0.0011165757649539696,0.3730504893194599,58.84695971903892,3.167,0.003527336860670194,0.047573033754371497
86,0-1-0,1-1-2,0.56158473070308,0.557321187422566,6.044319317396567,0.0011336208450462171,0.42050876022870864,58.72720460393802,3.166,0.003590664272890485,0.10687562854043686
87,0-1-0,1-1-3,0.5128736453381877,0.5081154975885733,6.374663553276607,0.0011122987974017408,0.33976628095995043,62.907864680964956,3.296,0.0036429872495446266,0.09135384275049807
88,0-1-0,1-2-0,0.585010276425712,0.5809673047514775,5.883070061522351,0.0011111683475008305,0.21133604878578677,56.89158609656099,3.1,0.0034782608695652175,0.025964568033412516
89,0-1-0,1-2-1,0.5864020781439451,0.5824100393256275,5.867107439821523,0.0011824969846079849,0.2270213926146101,56.39664541619186,3.097,0.0035149384885764497,0.05849763498869376
90,0-1-0,1-2-2,0.5370572317750059,0.5325481945731113,6.213518191142575,0.001126743717111964,0.05213235178965072,60.800613996555114,3.233,0.003289473684210526,0.08329329722821177
91,0-1-0,1-2-3,0.5371974050313651,0.5326881558008315,6.211841581320077,0.001123163922152786,0.18247362476347695,60.83422030427159,3.232,0.0033277870216306157,0.0423086106525149
92,0-1-0,1-3-0,0.5859476495462821,0.581955334972215,5.872167931386003,0.001187973536723195,0.25217514423963844,56.41733507491808,3.099,0.003590664272890485,0.08912532685191055
93,0-1-0,1-3-1,0.5139965114199706,0.5092579918707291,6.360786737002486,0.0011346246373971029,0.49774305710623035,62.72276597897024,3.292,0.0037105751391465678,0.1595974890165387
94,0-1-0,1-3-2,0.6094686632100692,0.605682046180663,5.705357276967422,0.0011386253599878417,0.05979792917838787,54.73585334370602,3.028,0.0032679738562091504,0.0868843497188837
95,0-1-0,1-3-3,0.5125253376872303,0.5077669257571109,6.379074455496831,0.0011145838490795809,0.02790735158959209,62.94381488130111,3.298,0.003401360544217687,0.03676968492022192
96,0-1-0,2-0-0,0.7374254415664718,0.7350402651091175,4.637792640459773,0.0015978681926854404,0.27932894799837693,41.65518083194755,2.612,0.00315955766192733,0.0075409388944743805
97,0-1-0,2-0-1,0.7372639775888635,0.7348805610377521,4.639480419558435,0.0016054442252481102,0.16292768248187892,41.64426986229203,2.613,0.0032520325203252032,0.06539445935741206
98,0-1-0,2-0-2,0.7370682168298315,0.7346756603595377,4.641658453180535,0.0015908320318728155,0.39634974073026885,41.73466409183786,2.614,0.0033277870216306157,0.0490366420036118
99,0-1-0,2-0-3,0.73714635912795,0.7347582980323529,4.640818022441392,0.0015985872098223278,0.18247362476347695,41.67892037029947,2.614,0.003115264797507788,0.014941657981659584
100,0-1-0,2-1-0,0.7361735598698659,0.7337622180608824,4.651211600767964,0.0015722365822786518,0.5386703021655014,41.944342490878405,2.617,0.003527336860670194,0.1249340941967223
101,0-1-0,2-1-1,0.7372138263811636,0.7348256252634765,4.64008157250994,0.0015959490726286025,0.21133604878578677,41.70153382963638,2.613,0.0032733224222585926,0.06453661135570143
102,0-1-0,2-1-2,0.7125066899335272,0.7098751620642789,4.852834333869544,0.0015853578039987538,0.31870802547304267,43.79326711185627,2.708,0.003430531732418525,0.07195098491937368
103,0-1-0,2-1-3,0.7369904272228426,0.734599470706052,4.642453093011625,0.0015956654110938504,0.2888318987114197,41.71025761998722,2.614,0.003169572107765452,0.02532104995220663
104,0-1-0,2-2-0,0.7123503058631955,0.7097240728598468,4.854418051466179,0.0015966471246433701,0.189382867733048,43.735836039193224,2.709,0.0032310177705977385,0.05309902125853261
105,0-1-0,2-2-1,0.7372617959986255,0.7348761788207793,4.639680879365651,0.0016013355391691483,0.23518691271057976,41.650088852142055,2.613,0.003169572107765452,0.006940050273689935
106,0-1-0,2-2-2,0.7372291492801195,0.7348469700647478,4.639925294645188,0.0016087107628213252,0.16924928981273388,41.620976437199786,2.614,0.0032626427406199023,0.051739835306621074
107,0-1-0,2-2-3,0.7369430077535352,0.734552745008674,4.642863220983331,0.001598199723689688,0.16924928981273388,41.71746450866582,2.614,0.003257328990228013,0.05307707069949519
